Event ID,Station,Primary station,Event start,Event end,Duration min,Rain total mm,Network mean rain mm,Network max rain mm,Network sum rain mm,Peak 3min mm,Mean intensity mm/h,Available station count,Available stations,Rainy station count,Rainy stations,Station event totals mm,Typology
351,GEOP,GEOP,2023-04-12 11:19:01,2023-04-12 22:07:01,651.0,13.97,13.97,13.97,13.97,0.83,1.2876,1,GEOP,1,GEOP,GEOP:13.97,high_intensity
358,RIPR,RIPR,2023-04-14 22:30:27,2023-04-15 21:36:27,1389.0,10.69,10.69,10.69,10.69,0.24,0.4618,1,RIPR,1,RIPR,RIPR:10.69,long_moderate
372,PONT,PONT,2023-04-20 11:36:09,2023-04-20 15:36:09,243.0,7.25,7.25,7.25,7.25,0.29,1.7901,1,PONT,1,PONT,PONT:7.25,high_intensity
377,GEOP,GEOP,2023-04-22 23:19:01,2023-04-23 05:42:27,386.4,4.42,4.42,4.42,4.42,0.26,0.6863,1,GEOP,1,GEOP,GEOP:4.42,standard
380,GEOP,GEOP,2023-04-23 21:49:01,2023-04-24 09:09:27,683.4,10.09,10.09,10.09,10.09,0.97,0.8858,1,GEOP,1,GEOP,GEOP:10.09,standard
382,GEOP,GEOP,2023-04-25 00:58:01,2023-04-25 10:06:09,551.1,4.76,4.76,4.76,4.76,0.55,0.5182,1,GEOP,1,GEOP,GEOP:4.76,standard
396,GEOP,GEOP,2023-05-01 07:54:22,2023-05-01 09:21:22,90.0,1.13,1.13,1.13,1.13,0.17,0.7533,1,GEOP,1,GEOP,GEOP:1.13,standard
416,GEOP,GEOP,2023-05-07 12:18:22,2023-05-07 18:48:09,392.8,4.82,4.82,4.82,4.82,0.53,0.7363,1,GEOP,1,GEOP,GEOP:4.82,standard
422,GEOP,GEOP,2023-05-09 13:45:22,2023-05-09 22:39:09,536.8,10.16,10.16,10.16,10.16,0.22,1.1357,1,GEOP,1,GEOP,GEOP:10.16,standard
423,PONT,PONT,2023-05-10 02:54:09,2023-05-10 06:33:09,222.0,3.35,3.35,3.35,3.35,0.26,0.9054,1,PONT,1,PONT,PONT:3.35,standard
430,RIPR,RIPR,2023-05-13 14:06:27,2023-05-13 16:51:27,168.0,1.88,1.88,1.88,1.88,0.33,0.6714,1,RIPR,1,RIPR,RIPR:1.88,standard
432,PONT,PONT,2023-05-14 19:12:09,2023-05-15 06:18:09,669.0,4.78,4.78,4.78,4.78,0.39,0.4287,1,PONT,1,PONT,PONT:4.78,standard
434,PONT,PONT,2023-05-15 12:57:09,2023-05-15 15:24:09,150.0,2.44,2.44,2.44,2.44,0.48,0.976,1,PONT,1,PONT,PONT:2.44,standard
442,PONT,PONT,2023-05-18 20:00:09,2023-05-19 02:21:09,384.0,1.74,1.74,1.74,1.74,0.15,0.2719,1,PONT,1,PONT,PONT:1.74,standard
452,PONT,PONT,2023-05-22 14:18:09,2023-05-22 14:51:09,36.0,1.95,1.95,1.95,1.95,0.53,3.25,1,PONT,1,PONT,PONT:1.95,high_intensity
453,PONT,PONT,2023-05-22 16:42:09,2023-05-22 18:39:09,120.0,2.3,2.3,2.3,2.3,0.53,1.15,1,PONT,1,PONT,PONT:2.30,standard
458,GEOP,GEOP,2023-05-25 05:42:22,2023-05-25 08:12:22,153.0,1.21,1.21,1.21,1.21,0.12,0.4745,1,GEOP,1,GEOP,GEOP:1.21,standard
485,RIPR,RIPR,2023-06-03 14:09:27,2023-06-03 16:03:27,117.0,7.38,7.38,7.38,7.38,0.75,3.7846,1,RIPR,1,RIPR,RIPR:7.38,short_intense
540,RIPR,RIPR,2023-06-19 20:33:27,2023-06-20 02:53:59,383.5,1.84,1.84,1.84,1.84,0.17,0.2878,1,RIPR,1,RIPR,RIPR:1.84,standard
547,LEXP,LEXP,2023-06-22 15:21:16,2023-06-23 05:30:58,852.7,15.58,15.58,15.58,15.58,3.12,1.0963,1,LEXP,1,LEXP,LEXP:15.58,standard
580,RIPR,RIPR,2023-07-01 19:48:27,2023-07-02 01:54:27,369.0,1.68,1.68,1.68,1.68,0.22,0.2732,1,RIPR,1,RIPR,RIPR:1.68,standard
597,RIPR,RIPR,2023-07-08 03:21:27,2023-07-08 04:45:54,87.5,2.44,2.44,2.44,2.44,1.46,1.6741,1,RIPR,1,RIPR,RIPR:2.44,short_intense
611,RIPR,RIPR,2023-07-11 16:57:27,2023-07-11 20:45:55,231.5,9.76,9.76,9.76,9.76,1.86,2.53,1,RIPR,1,RIPR,RIPR:9.76,high_intensity
