	Horaire	1
S/N		965372
Type		TGC-0011
Description		GEOP
Propriété		Counts
1	31 oct. 2023 10:48:08	9.0
2	31 oct. 2023 10:51:08	5.0
3	31 oct. 2023 10:54:08	3.0
4	31 oct. 2023 10:57:08	5.0
5	31 oct. 2023 11:00:08	13.0
6	31 oct. 2023 11:03:08	7.0
7	31 oct. 2023 11:06:08	9.0
8	31 oct. 2023 11:09:08	8.0
9	31 oct. 2023 11:12:08	6.0
10	31 oct. 2023 11:15:08	6.0
11	31 oct. 2023 11:18:08	6.0
12	31 oct. 2023 11:21:08	7.0
13	31 oct. 2023 11:24:08	6.0
14	31 oct. 2023 11:27:08	7.0
15	31 oct. 2023 11:30:08	8.0
16	31 oct. 2023 11:33:08	8.0
17	31 oct. 2023 11:36:08	11.0
18	31 oct. 2023 11:39:08	6.0
19	31 oct. 2023 11:42:08	6.0
20	31 oct. 2023 11:45:08	5.0
21	31 oct. 2023 11:48:08	5.0
22	31 oct. 2023 11:51:08	5.0
23	31 oct. 2023 11:54:08	3.0
24	31 oct. 2023 11:57:08	5.0
25	31 oct. 2023 12:00:08	11.0
26	31 oct. 2023 12:03:08	14.0
27	31 oct. 2023 12:06:08	17.0
28	31 oct. 2023 12:09:08	13.0
29	31 oct. 2023 12:12:08	14.0
30	31 oct. 2023 12:15:08	10.0
31	31 oct. 2023 12:18:08	9.0
32	31 oct. 2023 12:21:08	8.0
33	31 oct. 2023 12:24:08	6.0
34	31 oct. 2023 12:27:08	4.0
35	31 oct. 2023 12:30:08	4.0
36	31 oct. 2023 12:33:08	4.0
37	31 oct. 2023 12:36:08	12.0
38	31 oct. 2023 12:39:08	5.0
39	31 oct. 2023 12:42:08	5.0
40	31 oct. 2023 12:45:08	4.0
41	31 oct. 2023 12:48:08	2.0
42	31 oct. 2023 12:51:08	2.0
43	31 oct. 2023 12:54:08	3.0
44	31 oct. 2023 12:57:08	1.0
45	31 oct. 2023 13:00:08	16.0
46	31 oct. 2023 13:03:08	14.0
47	31 oct. 2023 13:06:08	18.0
48	31 oct. 2023 13:09:08	13.0
