	Time	1
S/N		965372
Type		TGC-0011
Description		GEOP
Property		Counts
1	Dec 11 2025 9:18:47 AM	0.0
2	Dec 11 2025 9:21:47 AM	2.0
3	Dec 11 2025 9:24:47 AM	0.0
4	Dec 11 2025 9:27:47 AM	0.0
5	Dec 11 2025 9:30:47 AM	0.0
6	Dec 11 2025 9:33:47 AM	0.0
7	Dec 11 2025 9:36:47 AM	0.0
8	Dec 11 2025 9:39:47 AM	0.0
9	Dec 11 2025 9:42:47 AM	0.0
10	Dec 11 2025 9:45:47 AM	0.0
11	Dec 11 2025 9:48:47 AM	0.0
12	Dec 11 2025 9:51:47 AM	0.0
13	Dec 11 2025 9:54:47 AM	0.0
14	Dec 11 2025 9:57:47 AM	0.0
15	Dec 11 2025 10:00:47 AM	0.0
16	Dec 11 2025 10:03:47 AM	0.0
17	Dec 11 2025 10:06:47 AM	0.0
18	Dec 11 2025 10:09:47 AM	0.0
19	Dec 11 2025 10:12:47 AM	0.0
20	Dec 11 2025 10:15:47 AM	0.0
21	Dec 11 2025 10:18:47 AM	0.0
22	Dec 11 2025 10:21:47 AM	0.0
23	Dec 11 2025 10:24:47 AM	0.0
24	Dec 11 2025 10:27:47 AM	0.0
25	Dec 11 2025 10:30:47 AM	0.0
26	Dec 11 2025 10:33:47 AM	0.0
27	Dec 11 2025 10:36:47 AM	0.0
28	Dec 11 2025 10:39:47 AM	0.0
29	Dec 11 2025 10:42:47 AM	0.0
30	Dec 11 2025 10:45:47 AM	0.0
31	Dec 11 2025 10:48:47 AM	0.0
32	Dec 11 2025 10:51:47 AM	0.0
33	Dec 11 2025 10:54:47 AM	0.0
34	Dec 11 2025 10:57:47 AM	0.0
35	Dec 11 2025 11:00:47 AM	0.0
36	Dec 11 2025 11:03:47 AM	0.0
37	Dec 11 2025 11:06:47 AM	0.0
38	Dec 11 2025 11:09:47 AM	0.0
39	Dec 11 2025 11:12:47 AM	0.0
40	Dec 11 2025 11:15:47 AM	0.0
41	Dec 11 2025 11:18:47 AM	0.0
42	Dec 11 2025 11:21:47 AM	0.0
