	Horaire	1
S/N		954900
Type		TGRF-4901-A
Description		PONT
Propriété		Count
1082	01 Sep 2023 15:15:03	0 per Logging Interval
1083	01 Sep 2023 15:18:03	0 per Logging Interval
1084	01 Sep 2023 15:21:03	0 per Logging Interval
1085	01 Sep 2023 15:24:03	0 per Logging Interval
1086	01 Sep 2023 15:27:03	0 per Logging Interval
1087	01 Sep 2023 15:30:03	0 per Logging Interval
1088	01 Sep 2023 15:33:03	0 per Logging Interval
1089	01 Sep 2023 15:36:03	0 per Logging Interval
1090	01 Sep 2023 15:39:03	0 per Logging Interval
1091	01 Sep 2023 15:42:03	0 per Logging Interval
1092	01 Sep 2023 15:45:03	0 per Logging Interval
1093	01 Sep 2023 15:48:03	0 per Logging Interval
1094	01 Sep 2023 15:51:03	0 per Logging Interval
1095	01 Sep 2023 15:54:03	0 per Logging Interval
1096	01 Sep 2023 15:57:03	0 per Logging Interval
1097	01 Sep 2023 16:00:03	0 per Logging Interval
1098	01 Sep 2023 16:03:03	0 per Logging Interval
1099	01 Sep 2023 16:06:03	0 per Logging Interval
1100	01 Sep 2023 16:09:03	0 per Logging Interval
1101	01 Sep 2023 16:12:03	0 per Logging Interval
1102	01 Sep 2023 16:15:03	0 per Logging Interval
1103	01 Sep 2023 16:18:03	0 per Logging Interval
1104	01 Sep 2023 16:21:03	0 per Logging Interval
1105	01 Sep 2023 16:24:03	0 per Logging Interval
1106	01 Sep 2023 16:27:03	0 per Logging Interval
1107	01 Sep 2023 16:30:03	0 per Logging Interval
1108	01 Sep 2023 16:33:03	0 per Logging Interval
1109	01 Sep 2023 16:36:03	0 per Logging Interval
1110	01 Sep 2023 16:39:03	0 per Logging Interval
1111	01 Sep 2023 16:42:03	0 per Logging Interval
1112	01 Sep 2023 16:45:03	0 per Logging Interval
1113	01 Sep 2023 16:48:03	0 per Logging Interval
1114	01 Sep 2023 16:51:03	0 per Logging Interval
1115	01 Sep 2023 16:54:03	0 per Logging Interval
1116	01 Sep 2023 16:57:03	0 per Logging Interval
1117	01 Sep 2023 17:00:03	0 per Logging Interval
1118	01 Sep 2023 17:03:03	0 per Logging Interval
1119	01 Sep 2023 17:06:03	0 per Logging Interval
1120	01 Sep 2023 17:09:03	0 per Logging Interval
1121	01 Sep 2023 17:12:03	0 per Logging Interval
1122	01 Sep 2023 17:15:03	0 per Logging Interval
1123	01 Sep 2023 17:18:03	0 per Logging Interval
1124	01 Sep 2023 17:21:03	0 per Logging Interval
1125	01 Sep 2023 17:24:03	0 per Logging Interval
1126	01 Sep 2023 17:27:03	0 per Logging Interval
1127	01 Sep 2023 17:30:03	0 per Logging Interval
1128	01 Sep 2023 17:33:03	0 per Logging Interval
1129	01 Sep 2023 17:36:03	0 per Logging Interval
1130	01 Sep 2023 17:39:03	0 per Logging Interval
1131	01 Sep 2023 17:42:03	0 per Logging Interval
1132	01 Sep 2023 17:45:03	0 per Logging Interval
1133	01 Sep 2023 17:48:03	0 per Logging Interval
1134	01 Sep 2023 17:51:03	0 per Logging Interval
1135	01 Sep 2023 17:54:03	0 per Logging Interval
1136	01 Sep 2023 17:57:03	0 per Logging Interval
1137	01 Sep 2023 18:00:03	0 per Logging Interval
1138	01 Sep 2023 18:03:03	0 per Logging Interval
1139	01 Sep 2023 18:06:03	0 per Logging Interval
1140	01 Sep 2023 18:09:03	0 per Logging Interval
1141	01 Sep 2023 18:12:03	0 per Logging Interval
1142	01 Sep 2023 18:15:03	0 per Logging Interval
1143	01 Sep 2023 18:18:03	0 per Logging Interval
1144	01 Sep 2023 18:21:03	0 per Logging Interval
1145	01 Sep 2023 18:24:03	0 per Logging Interval
1146	01 Sep 2023 18:27:03	0 per Logging Interval
1147	01 Sep 2023 18:30:03	0 per Logging Interval
1148	01 Sep 2023 18:33:03	0 per Logging Interval
1149	01 Sep 2023 18:36:03	0 per Logging Interval
1150	01 Sep 2023 18:39:03	0 per Logging Interval
1151	01 Sep 2023 18:42:03	0 per Logging Interval
1152	01 Sep 2023 18:45:03	0 per Logging Interval
1153	01 Sep 2023 18:48:03	0 per Logging Interval
1154	01 Sep 2023 18:51:03	0 per Logging Interval
1155	01 Sep 2023 18:54:03	0 per Logging Interval
1156	01 Sep 2023 18:57:03	0 per Logging Interval
1157	01 Sep 2023 19:00:03	0 per Logging Interval
1158	01 Sep 2023 19:03:03	0 per Logging Interval
1159	01 Sep 2023 19:06:03	0 per Logging Interval
1160	01 Sep 2023 19:09:03	0 per Logging Interval
1161	01 Sep 2023 19:12:03	0 per Logging Interval
1162	01 Sep 2023 19:15:03	0 per Logging Interval
1163	01 Sep 2023 19:18:03	0 per Logging Interval
1164	01 Sep 2023 19:21:03	0 per Logging Interval
1165	01 Sep 2023 19:24:03	0 per Logging Interval
1166	01 Sep 2023 19:27:03	0 per Logging Interval
1167	01 Sep 2023 19:30:03	0 per Logging Interval
1168	01 Sep 2023 19:33:03	0 per Logging Interval
1169	01 Sep 2023 19:36:03	0 per Logging Interval
1170	01 Sep 2023 19:39:03	0 per Logging Interval
1171	01 Sep 2023 19:42:03	0 per Logging Interval
1172	01 Sep 2023 19:45:03	0 per Logging Interval
1173	01 Sep 2023 19:48:03	0 per Logging Interval
1174	01 Sep 2023 19:51:03	0 per Logging Interval
1175	01 Sep 2023 19:54:03	0 per Logging Interval
1176	01 Sep 2023 19:57:03	0 per Logging Interval
1177	01 Sep 2023 20:00:03	0 per Logging Interval
1178	01 Sep 2023 20:03:03	0 per Logging Interval
1179	01 Sep 2023 20:06:03	0 per Logging Interval
1180	01 Sep 2023 20:09:03	0 per Logging Interval
1181	01 Sep 2023 20:12:03	0 per Logging Interval
1182	01 Sep 2023 20:15:03	0 per Logging Interval
1183	01 Sep 2023 20:18:03	0 per Logging Interval
1184	01 Sep 2023 20:21:03	0 per Logging Interval
1185	01 Sep 2023 20:24:03	0 per Logging Interval
1186	01 Sep 2023 20:27:03	0 per Logging Interval
1187	01 Sep 2023 20:30:03	0 per Logging Interval
1188	01 Sep 2023 20:33:03	0 per Logging Interval
1189	01 Sep 2023 20:36:03	0 per Logging Interval
1190	01 Sep 2023 20:39:03	0 per Logging Interval
1191	01 Sep 2023 20:42:03	0 per Logging Interval
1192	01 Sep 2023 20:45:03	0 per Logging Interval
1193	01 Sep 2023 20:48:03	0 per Logging Interval
1194	01 Sep 2023 20:51:03	0 per Logging Interval
1195	01 Sep 2023 20:54:03	0 per Logging Interval
1196	01 Sep 2023 20:57:03	0 per Logging Interval
1197	01 Sep 2023 21:00:03	0 per Logging Interval
1198	01 Sep 2023 21:03:03	0 per Logging Interval
1199	01 Sep 2023 21:06:03	0 per Logging Interval
1200	01 Sep 2023 21:09:03	0 per Logging Interval
1201	01 Sep 2023 21:12:03	0 per Logging Interval
1202	01 Sep 2023 21:15:03	0 per Logging Interval
1203	01 Sep 2023 21:18:03	0 per Logging Interval
1204	01 Sep 2023 21:21:03	0 per Logging Interval
1205	01 Sep 2023 21:24:03	0 per Logging Interval
1206	01 Sep 2023 21:27:03	0 per Logging Interval
1207	01 Sep 2023 21:30:03	0 per Logging Interval
1208	01 Sep 2023 21:33:03	0 per Logging Interval
1209	01 Sep 2023 21:36:03	0 per Logging Interval
1210	01 Sep 2023 21:39:03	0 per Logging Interval
1211	01 Sep 2023 21:42:03	0 per Logging Interval
1212	01 Sep 2023 21:45:03	0 per Logging Interval
1213	01 Sep 2023 21:48:03	0 per Logging Interval
1214	01 Sep 2023 21:51:03	0 per Logging Interval
1215	01 Sep 2023 21:54:03	0 per Logging Interval
1216	01 Sep 2023 21:57:03	0 per Logging Interval
1217	01 Sep 2023 22:00:03	0 per Logging Interval
1218	01 Sep 2023 22:03:03	0 per Logging Interval
1219	01 Sep 2023 22:06:03	0 per Logging Interval
1220	01 Sep 2023 22:09:03	0 per Logging Interval
