Source_File,DateTime,Precipitation
PONT_20230327.txt,2023-01-10 13:55:20,0.0
PONT_20230327.txt,2023-01-10 13:58:20,0.0
PONT_20230327.txt,2023-01-10 14:01:20,0.0
PONT_20230327.txt,2023-01-10 14:04:20,0.0
PONT_20230327.txt,2023-01-10 14:07:20,0.0
PONT_20230327.txt,2023-01-10 14:10:20,0.0
PONT_20230327.txt,2023-01-10 14:13:20,0.0
PONT_20230327.txt,2023-01-10 14:16:20,0.0
PONT_20230327.txt,2023-01-10 14:19:20,0.0
PONT_20230327.txt,2023-01-10 14:22:20,0.0
PONT_20230327.txt,2023-01-10 14:25:20,0.0
PONT_20230327.txt,2023-01-10 14:28:20,0.0
PONT_20230327.txt,2023-01-10 14:31:20,0.0
PONT_20230327.txt,2023-01-10 14:34:20,0.0
PONT_20230327.txt,2023-01-10 14:37:20,0.0
PONT_20230327.txt,2023-01-10 14:40:20,0.0
