Source_File,DateTime,Precipitation
RIPR_20230327.txt,2023-01-10 15:03:22,0.0
RIPR_20230327.txt,2023-01-10 15:06:22,0.0
RIPR_20230327.txt,2023-01-10 15:09:22,0.0
RIPR_20230327.txt,2023-01-10 15:12:22,0.0
RIPR_20230327.txt,2023-01-10 15:15:22,0.0
RIPR_20230327.txt,2023-01-10 15:18:22,0.0
RIPR_20230327.txt,2023-01-10 15:21:22,0.0
RIPR_20230327.txt,2023-01-10 15:24:22,0.0
RIPR_20230327.txt,2023-01-10 15:27:22,0.0
RIPR_20230327.txt,2023-01-10 15:30:22,0.0
RIPR_20230327.txt,2023-01-10 15:33:22,0.0
RIPR_20230327.txt,2023-01-10 15:36:22,0.0
