created_at,entry_id,field1,field2,field3,field5,latitude,longitude,elevation,status
2025-09-03T00:40:45+00:00,18,99.0,98.5,10.5,0.0,,,,
2025-09-03T00:43:45+00:00,19,99.0,98.5,10.5,0.0,,,,
2025-09-03T00:46:45+00:00,20,99.0,99.0,10.6,0.0,,,,
2025-09-03T00:49:45+00:00,21,99.0,99.0,10.5,0.0,,,,
2025-09-03T00:55:45+00:00,22,99.0,99.0,10.5,0.0,,,,
2025-09-03T01:01:45+00:00,23,99.0,99.0,10.4,0.0,,,,
2025-09-03T01:04:45+00:00,24,99.0,99.0,10.5,0.0,,,,
2025-09-03T01:07:45+00:00,25,99.0,99.0,10.7,0.0,,,,
2025-09-03T01:10:45+00:00,26,99.0,99.0,10.7,0.0,,,,
2025-09-03T01:13:45+00:00,27,99.0,99.0,10.7,0.0,,,,
2025-09-03T01:16:45+00:00,28,99.0,99.0,10.9,0.0,,,,
2025-09-03T01:19:45+00:00,29,99.0,99.0,10.9,0.0,,,,
2025-09-03T01:22:45+00:00,30,99.0,99.0,10.9,0.0,,,,
2025-09-03T01:25:45+00:00,31,99.0,99.0,11.1,0.0,,,,
2025-09-03T01:28:45+00:00,32,99.0,99.0,11.1,0.0,,,,
2025-09-03T01:31:45+00:00,33,99.0,99.0,11.2,0.0,,,,
2025-09-03T01:34:45+00:00,34,99.0,99.0,11.3,0.0,,,,
2025-09-03T01:37:45+00:00,35,99.0,99.0,11.4,0.0,,,,
2025-09-03T01:40:45+00:00,36,99.0,99.0,11.4,0.0,,,,
2025-09-03T01:43:45+00:00,37,99.0,99.0,11.5,0.0,,,,
2025-09-03T01:49:45+00:00,38,99.0,99.0,11.5,0.0,,,,
2025-09-03T01:55:45+00:00,39,99.0,99.0,11.5,0.0,,,,
2025-09-03T02:04:45+00:00,40,99.0,99.0,11.5,0.0,,,,
2025-09-03T02:07:45+00:00,41,99.0,98.5,11.5,0.0,,,,
2025-09-03T02:13:45+00:00,42,99.0,98.5,11.6,0.0,,,,
2025-09-03T02:16:45+00:00,43,99.0,98.5,11.6,0.0,,,,
2025-09-03T02:19:45+00:00,44,99.0,99.0,11.7,0.0,,,,
2025-09-03T02:22:45+00:00,45,99.0,98.5,11.6,0.0,,,,
2025-09-03T02:28:45+00:00,46,99.0,98.5,11.6,0.0,,,,
2025-09-03T02:31:45+00:00,47,99.0,99.0,11.6,0.0,,,,
2025-09-03T02:43:45+00:00,48,99.0,98.5,11.6,0.0,,,,
2025-09-03T02:46:45+00:00,49,99.0,99.0,11.6,0.0,,,,
2025-09-03T02:49:45+00:00,50,99.0,98.5,11.5,0.0,,,,
