Date,Daily status,Daily reason,Daily valid points,Daily station rain mm,Daily MeteoSwiss rain mm,Daily correlation,Daily bias
2023-02-02,FAIL,corr N/A < 0.4; bias N/A outside +/-0.3 and total diff 18.150 > 0.5,480,18.15,0.0,,
2023-02-03,PASS,dry day totals close: diff 0.010 <= 0.2,480,0.01,0.0,,
2023-02-04,PASS,dry day totals close: diff 0.200 <= 0.2,480,0.0,0.2,,
2023-02-05,FAIL,dry day totals differ: diff 0.300 > 0.2,480,0.0,0.3,,
2023-02-06,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2023-02-07,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2023-02-08,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2023-02-09,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2023-02-10,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2023-02-11,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2023-02-12,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2023-02-13,PASS,dry day totals close: diff 0.000 <= 0.2,453,0.0,0.0,,
