Date,Daily status,Daily reason,Daily valid points,Daily station rain mm,Daily MeteoSwiss rain mm,Daily correlation,Daily bias
2025-04-08,PASS,dry day totals close: diff 0.000 <= 0.2,209,0.0,0.0,,
2025-04-09,FAIL,corr N/A < 0.4; bias N/A outside +/-0.3 and total diff 1.710 > 0.5,480,1.71,0.0,,
2025-04-10,FAIL,corr N/A < 0.4; bias N/A outside +/-0.3 and total diff 1.020 > 0.5,480,1.02,0.0,,
2025-04-11,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2025-04-12,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2025-04-13,PASS,OK,480,9.34,10.7,0.8368,-0.1271
2025-04-14,FAIL,corr 0.042 < 0.4,480,0.43,0.6,0.0422,-0.2833
2025-04-15,PASS,OK,480,13.76,12.3,0.7444,0.1187
2025-04-16,PASS,OK,480,17.59,18.9062,0.7145,-0.0696
2025-04-17,PASS,OK,480,11.19,10.2938,0.8833,0.0871
2025-04-18,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2025-04-19,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2025-04-20,FAIL,bias -0.333 outside +/-0.3 and total diff 1.700 > 0.5,480,3.4,5.1,0.703,-0.3333
2025-04-21,PASS,OK,480,0.17,0.5,0.4499,-0.66
2025-04-22,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2025-04-23,PASS,OK,480,1.31,1.5,0.8911,-0.1267
2025-04-24,PASS,dry day totals close: diff 0.010 <= 0.2,480,0.49,0.5,,
2025-04-25,PASS,dry day totals close: diff 0.020 <= 0.2,480,0.02,0.0,,
2025-04-26,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2025-04-27,FAIL,corr 0.142 < 0.4,480,2.47,2.3,0.1424,0.0739
2025-04-28,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2025-04-29,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2025-04-30,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2025-05-01,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2025-05-02,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2025-05-03,PASS,OK,480,5.66,5.7,0.5803,-0.007
2025-05-04,PASS,OK,480,21.46,26.5123,0.8763,-0.1906
2025-05-05,PASS,OK,480,7.93,8.2877,0.6948,-0.0432
2025-05-06,FAIL,corr N/A < 0.4; bias N/A outside +/-0.3 and total diff 3.110 > 0.5,480,3.11,0.0,,
2025-05-07,PASS,OK,480,4.06,3.6,0.7245,0.1278
2025-05-08,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2025-05-09,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
