Date,Daily status,Daily reason,Daily valid points,Daily station rain mm,Daily MeteoSwiss rain mm,Daily correlation,Daily bias
2025-08-12,PASS,dry day totals close: diff 0.010 <= 0.2,292,0.01,0.0,,
2025-08-13,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2025-08-14,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2025-08-15,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2025-08-16,PASS,dry day totals close: diff 0.012 <= 0.2,468,0.14,0.1277,,
2025-08-17,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2025-08-18,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2025-08-19,PASS,dry day totals close: diff 0.117 <= 0.2,452,0.14,0.2575,,
2025-08-20,FAIL,corr 0.252 < 0.4,325,5.02,7.1115,0.2522,-0.2941
2025-08-21,FAIL,corr 0.354 < 0.4; bias -0.656 outside +/-0.3 and total diff 6.243 > 0.5,312,3.27,9.5133,0.3536,-0.6563
2025-08-22,PASS,dry day totals close: diff 0.030 <= 0.2,472,0.03,0.0,,
2025-08-23,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2025-08-24,PASS,dry day totals close: diff 0.000 <= 0.2,479,0.0,0.0,,
2025-08-25,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2025-08-26,FAIL,corr 0.126 < 0.4; bias -0.726 outside +/-0.3 and total diff 0.558 > 0.5,463,0.21,0.7677,0.1259,-0.7264
2025-08-27,PASS,dry day totals close: diff 0.078 <= 0.2,465,0.2,0.2777,,
2025-08-28,FAIL,bias -0.797 outside +/-0.3 and total diff 15.001 > 0.5,306,3.83,18.8312,0.604,-0.7966
2025-08-29,FAIL,bias -0.802 outside +/-0.3 and total diff 1.542 > 0.5,464,0.38,1.9222,0.5469,-0.8023
2025-08-30,FAIL,corr 0.157 < 0.4; bias -0.315 outside +/-0.3 and total diff 0.635 > 0.5,417,1.38,2.0155,0.1571,-0.3153
2025-08-31,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2025-09-01,FAIL,corr 0.372 < 0.4; bias -0.631 outside +/-0.3 and total diff 5.868 > 0.5,310,3.43,9.2978,0.3722,-0.6311
2025-09-02,FAIL,corr 0.252 < 0.4; bias -0.535 outside +/-0.3 and total diff 0.839 > 0.5,421,0.73,1.5693,0.2518,-0.5348
