Date,Daily status,Daily reason,Daily valid points,Daily station rain mm,Daily MeteoSwiss rain mm,Daily correlation,Daily bias
2025-12-15,PASS,dry day totals close: diff 0.000 <= 0.2,269,0.0,0.0,,
2025-12-16,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2025-12-17,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2025-12-18,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2025-12-19,PASS,dry day totals close: diff 0.010 <= 0.2,480,0.31,0.3,,
2025-12-20,PASS,dry day totals close: diff 0.040 <= 0.2,480,0.04,0.0,,
2025-12-21,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2025-12-22,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2025-12-23,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2025-12-24,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2025-12-25,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2025-12-26,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2025-12-27,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2025-12-28,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2025-12-29,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2025-12-30,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2025-12-31,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2026-01-01,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2026-01-02,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2026-01-03,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2026-01-04,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2026-01-05,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2026-01-06,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2026-01-07,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2026-01-08,FAIL,bias 0.326 outside +/-0.3 and total diff 4.932 > 0.5,480,20.04,15.108,0.8436,0.3264
2026-01-09,PASS,OK,480,9.08,7.592,0.8548,0.196
2026-01-10,FAIL,corr 0.311 < 0.4; bias 0.456 outside +/-0.3 and total diff 2.600 > 0.5,480,8.3,5.7,0.3114,0.4561
2026-01-11,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2026-01-12,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2026-01-13,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2026-01-14,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2026-01-15,PASS,OK,480,4.07,3.5,0.7986,0.1629
2026-01-16,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2026-01-17,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2026-01-18,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2026-01-19,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2026-01-20,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2026-01-21,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2026-01-22,PASS,dry day totals close: diff 0.030 <= 0.2,480,0.03,0.0,,
2026-01-23,PASS,OK,480,3.99,4.5,0.9024,-0.1133
2026-01-24,PASS,dry day totals close: diff 0.030 <= 0.2,480,0.03,0.0,,
2026-01-25,PASS,OK,480,2.04,2.8,0.6863,-0.2714
2026-01-26,FAIL,bias -0.817 outside +/-0.3 and total diff 0.980 > 0.5,480,0.22,1.2,0.5475,-0.8167
2026-01-27,PASS,OK,480,15.72,14.7347,0.9291,0.0669
2026-01-28,PASS,OK,480,12.62,13.1653,0.6793,-0.0414
2026-01-29,FAIL,corr 0.316 < 0.4,480,0.53,1.0,0.3163,-0.47
2026-01-30,PASS,OK,480,2.93,4.0,0.8722,-0.2675
2026-01-31,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2026-02-01,PASS,dry day totals close: diff 0.100 <= 0.2,480,0.0,0.1,,
2026-02-02,PASS,OK,480,0.56,0.5,0.4919,0.12
2026-02-03,PASS,OK,480,3.42,3.3,0.7586,0.0364
2026-02-04,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2026-02-05,PASS,dry day totals close: diff 0.085 <= 0.2,480,0.35,0.4347,,
2026-02-06,PASS,OK,480,7.73,9.2653,0.6322,-0.1657
2026-02-07,PASS,dry day totals close: diff 0.040 <= 0.2,480,0.04,0.0,,
2026-02-08,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2026-02-09,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2026-02-10,PASS,OK,480,19.76,18.9,0.883,0.0455
2026-02-11,PASS,OK,480,28.11,33.3347,0.8626,-0.1567
